country,origin,system,status,url,date_recorded
Russia,23px-Russia.svg,15 GAZ Tigr-M,captured,https://web.archive.org/web/20220227214345/https://i.postimg.cc/fyL1Z3k4/448.png,2022-02-27
Russia,23px-Russia.svg,15 GAZ Tigr-M,captured,https://web.archive.org/web/20220227214345/https://i.postimg.cc/X7HWmbHB/7762.png,2022-02-27
Russia,23px-Italy.svg,1 Iveco LMV 'Rys',captured,https://web.archive.org/web/20220227214345/https://i.postimg.cc/C5gfTFhF/680o.png,2022-02-27
Russia,23px-Russia.svg,1 R-419L1 communication station,abandoned,https://web.archive.org/web/20220227214345/https://i.postimg.cc/HWF2jVg6/5588.png,2022-02-27
Russia,23px-Russia.svg,1 KamAZ 6x6,damaged,https://web.archive.org/web/20220227214345/https://i.postimg.cc/DfxxKLnD/84.png,2022-02-27
Russia,23px-Soviet Union.svg,1 BREM-K armoured recovery vehicle,captured,https://web.archive.org/web/20220227214345/https://i.postimg.cc/mkmwnq7g/760.png,2022-02-27
Russia,23px-Soviet Union.svg,1 IMR-2 combat engineering vehicle,destroyed,https://web.archive.org/web/20220227214345/https://i.postimg.cc/xdbysNZ7/5548.png,2022-02-27
Russia,23px-Soviet Union.svg,5 TMM-3 bridge layer,destroyed,https://web.archive.org/web/20220227214345/https://i.postimg.cc/HxVW1CCJ/Screenshot-8212.png,2022-02-27
Russia,23px-Soviet Union.svg,5 TMM-3 bridge layer,captured,https://web.archive.org/web/20220227214345/https://i.postimg.cc/FRhY7mzP/75.png,2022-02-27
Russia,23px-Soviet Union.svg,5 TMM-3 bridge layer,captured,https://web.archive.org/web/20220227214345/https://i.postimg.cc/X7wjb8tg/Screenshot-8214.png,2022-02-27
Russia,23px-Soviet Union.svg,5 TMM-3 bridge layer,captured,https://web.archive.org/web/20220227214345/https://i.postimg.cc/Y0Fpjf0M/Screenshot-8216.png,2022-02-27
Russia,23px-Soviet Union.svg,5 TMM-3 bridge layer,captured,https://web.archive.org/web/20220227214345/https://i.postimg.cc/FHN9sS4X/Screenshot-8217.png,2022-02-27
Russia,23px-Russia.svg,3 KamAZ-5350 with EOV-3523 excavator,captured,https://web.archive.org/web/20220227214345/https://i.postimg.cc/bvhJB8xz/774.png,2022-02-27
Russia,23px-Russia.svg,3 KamAZ-5350 with EOV-3523 excavator,captured,https://web.archive.org/web/20220227214345/https://i.postimg.cc/dQZQWvBp/Screenshot-8218.png,2022-02-27
Russia,23px-Russia.svg,3 KamAZ-5350 with EOV-3523 excavator,captured,https://web.archive.org/web/20220227214345/https://i.postimg.cc/T30TyPdL/Screenshot-8219.png,2022-02-27
Russia,23px-Russia.svg,1 KamAZ-5350 with crane,destroyed,https://web.archive.org/web/20220227214345/https://i.postimg.cc/zXtR3QK8/744.png,2022-02-27
Russia,23px-Russia.svg,1 Ural-4320 Wrecker,damaged,https://web.archive.org/web/20220227214345/https://i.postimg.cc/SsQHDVNQ/5579.png  ,2022-02-27
Russia,23px-Soviet Union.svg,3 9M113 Konkurs,captured,https://web.archive.org/web/20220227214345/https://i.postimg.cc/1RfB2NxM/347.png,2022-02-27
Russia,23px-Soviet Union.svg,1 9М131F Metis-M1,captured,https://web.archive.org/web/20220227214345/https://i.postimg.cc/kMwP5WQ0/8k.png,2022-02-27
Russia,23px-Soviet Union.svg,2 120mm mortar,captured,https://web.archive.org/web/20220227214345/https://i.postimg.cc/SKhJwYXP/4703.png,2022-02-27
Russia,23px-Soviet Union.svg,2 120mm mortar,captured,https://web.archive.org/web/20220227214345/https://i.postimg.cc/x11CC0NR/550.png,2022-02-27
Russia,23px-Soviet Union.svg,4 152mm 2A65 Msta-B howitzer,destroyed,https://web.archive.org/web/20220227214345/https://i.postimg.cc/prGV0k4f/Screenshot-8069.png,2022-02-27
Russia,23px-Soviet Union.svg,4 152mm 2A65 Msta-B howitzer,destroyed,https://web.archive.org/web/20220227214345/https://i.postimg.cc/05cN22jz/Screenshot-8075.png,2022-02-27
Russia,23px-Soviet Union.svg,4 152mm 2A65 Msta-B howitzer,damaged,https://web.archive.org/web/20220227214345/https://i.postimg.cc/yYx8J43v/Screenshot-8073.png,2022-02-27
Russia,23px-Soviet Union.svg,4 152mm 2A65 Msta-B howitzer,captured,https://web.archive.org/web/20220227214345/https://postimg.cc/q6CYJkkd,2022-02-27
Russia,23px-Soviet Union.svg,7 122mm BM-21 'Grad',destroyed,https://web.archive.org/web/20220227214345/https://i.postimg.cc/8c0jfFn1/b6.png,2022-02-27
Russia,23px-Soviet Union.svg,7 122mm BM-21 'Grad',destroyed,https://web.archive.org/web/20220227214345/https://i.postimg.cc/B65zvHbK/b6.png,2022-02-27
Russia,23px-Soviet Union.svg,7 122mm BM-21 'Grad',captured,https://web.archive.org/web/20220227214345/https://i.postimg.cc/xCF0twG5/b6.png,2022-02-27
Russia,23px-Soviet Union.svg,7 122mm BM-21 'Grad',captured,https://web.archive.org/web/20220227214345/https://i.postimg.cc/DZ0Q5pHc/6652.png,2022-02-27
Russia,23px-Soviet Union.svg,1 9K33 Osa,destroyed,https://web.archive.org/web/20220227214345/https://i.postimg.cc/xChnM7jX/n2.png ,2022-02-27
